MQ2,MQ6,MQ7,MQ9,target
1.51,1.73,0.01,0.95,0
1.81,4.87,0.08,3.99,0
6.79,2.61,0.0,2.39,0
1.93,4.62,0.06,3.99,0
6.28,1.45,0.0,1.83,0
3.9,2.61,0.41,0.46,0
1.7,3.76,0.02,3.85,0
1.64,4.62,0.02,4.96,0
0.06,0.1,0.03,8.56,0
2.29,6.07,0.02,1.27,0
2.49,7.76,0.02,1.27,0
0.77,3.34,0.01,3.56,0
1.16,6.17,0.01,4.96,0
2.77,4.43,0.04,1.21,0
4.54,4.16,0.02,1.82,0
0.39,2.33,0.0,3.28,0
2.4,3.45,0.02,1.21,0
1.28,3.88,0.12,4.31,0
5.16,2.54,0.0,1.83,0
1.67,1.8,0.02,0.95,0
1.46,5.31,0.01,4.74,0
2.39,4.87,0.11,4.31,0
1.26,4.63,0.01,4.74,0
0.72,0.09,0.0,0.89,0
1.4,3.64,0.15,3.99,0
0.13,0.85,0.01,3.01,0
0.87,2.73,0.01,3.56,0
1.58,1.66,0.01,0.95,0
2.61,0.47,0.09,0.95,0
2.0,3.56,0.04,5.88,0
1.87,0.19,0.0,1.19,0
2.25,4.87,0.13,5.3,0
6.58,1.84,0.0,1.83,0
4.23,2.79,0.02,0.46,0
1.1,3.55,0.02,3.56,0
5.99,1.3,0.0,1.83,0
1.76,3.13,0.0,3.28,0
1.55,0.14,0.0,0.89,0
0.7,3.41,0.06,4.5,0
3.9,0.67,0.02,0.23,0
0.75,0.09,0.0,0.89,0
1.76,4.87,0.09,5.3,0
1.56,4.13,0.12,5.3,0
0.36,2.36,0.02,0.29,0
0.21,0.85,0.01,3.28,0
3.42,0.46,0.0,1.51,0
3.35,0.79,0.07,3.99,0
0.94,5.64,0.02,4.96,0
4.72,0.82,0.0,1.51,0
1.32,2.93,0.0,3.28,0
2.77,1.73,0.06,0.46,0
2.55,2.27,0.34,0.46,0
1.62,1.73,0.02,0.95,0
1.52,4.62,0.09,3.99,0
2.15,4.19,0.01,4.14,0
0.09,0.67,0.0,3.56,0
1.26,0.14,0.0,0.89,0
1.7,1.59,0.01,0.95,0
1.4,3.88,0.11,5.3,0
1.02,5.38,0.035338341,4.63,0
0.54,2.73,0.01,3.28,0
0.92,0.09,0.0,0.89,0
2.2,0.19,0.0,0.89,0
1.07,3.55,0.02,3.56,0
1.54,3.11,0.15,5.88,0
2.77,5.16,0.05,0.95,0
0.11,1.39,0.183947859,3.56,0
0.23,2.14,0.0,3.28,0
4.66,0.7,0.0,1.51,0
1.05,4.41,0.01,4.74,0
1.05,3.88,0.05,4.96,0
4.54,2.88,0.00254,0.46,0
1.89,1.39,0.01,3.56,0
0.66,2.49,0.01,3.69,0
1.44,4.37,0.07,5.3,0
2.64,1.52,0.03,0.46,0
1.04,2.39,0.18,5.18,0
4.97,2.03,0.1,0.95,0
1.44,6.71,0.21,4.31,0
1.15,1.52,0.0,0.89,0
1.02,2.53,0.01,3.56,0
5.91,1.37,0.0,1.83,0
0.91,3.41,0.01,3.99,0
1.4,3.88,0.07,3.99,0
0.87,4.87,0.087797837,4.63,0
1.49,5.78,0.01,4.74,0
1.7,3.34,0.01,3.56,0
3.08,4.37,0.08,3.99,0
1.28,6.17,0.24,4.31,0
2.68,0.7,0.01,1.19,0
1.82,0.38,0.01,0.71,0
1.44,0.14,0.0,0.89,0
0.21,0.85,0.0,3.01,0
5.06,1.88,0.1,0.95,0
1.26,2.53,0.0,3.01,0
4.73,2.88,0.02,0.46,0
4.77,1.66,0.12,0.95,0
0.97,2.33,0.02,3.56,0
0.8,2.14,0.0,3.28,0
0.57,0.04,0.0,0.89,0
1.29,3.55,0.01,3.85,0
1.77,2.44,0.04,1.21,0
2.93,1.88,0.11,1.21,0
1.67,5.29,0.01,0.95,0
1.92,4.63,0.01,3.28,0
1.58,4.86,0.02,3.56,0
0.25,2.14,0.0,3.28,0
1.35,3.13,0.0,3.28,0
0.87,7.59,0.01,3.59,0
1.67,4.19,0.01,4.14,0
0.73,2.53,0.0,3.01,0
4.36,2.03,0.07,2.28,0
4.03,2.94,0.01,3.99,0
0.76,4.13,0.016091972,4.31,0
1.46,1.38,0.01,0.95,0
3.14,0.57,0.07,0.95,0
4.19,1.95,0.02,0.95,0
1.0,2.33,0.02,3.56,0
1.55,3.34,0.02,3.56,0
0.75,2.14,0.01,3.56,0
5.57,1.23,0.0,1.51,0
1.13,6.17,0.01,4.96,0
0.37,2.53,0.0,3.28,0
0.11,1.39,0.089726727,3.56,0
5.77,1.37,0.0,1.83,0
2.17,2.7,0.01,0.95,0
2.03,2.44,0.01,0.95,0
0.69,0.09,0.0,0.89,0
0.97,6.69,0.06,4.5,0
1.4,4.62,0.01,4.96,0
0.63,0.04,0.0,0.89,0
1.13,6.17,0.01,4.96,0
0.06,0.1,0.03,8.56,0
1.84,3.56,0.04,5.88,0
1.51,2.03,0.01,0.95,0
7.67,0.86,0.0,2.15,0
0.56,2.93,0.01,3.28,0
0.91,3.88,0.1,4.96,0
0.46,2.49,0.01,3.99,0
0.85,2.33,0.01,3.56,0
0.72,0.09,0.0,0.89,0
5.31,0.59,0.02,4.31,0
1.83,0.19,0.0,0.89,0
0.29,1.57,0.116200086,3.56,0
1.46,1.38,0.01,0.95,0
0.53,2.94,0.01,3.69,0
0.15,0.67,0.01,3.01,0
5.74,3.06,0.0867,0.71,0
0.7,3.88,0.12,4.96,0
1.02,6.44,0.01,4.96,0
1.2,3.64,0.01,3.99,0
0.73,4.62,0.014662471,4.31,0
0.66,1.39,0.0,3.28,0
1.65,3.66,0.01,0.95,0
1.75,2.52,0.04,1.21,0
1.13,3.13,0.0,3.28,0
1.4,3.64,0.01,3.99,0
2.23,4.36,0.05,5.88,0
2.11,2.35,0.01,1.21,0
1.18,3.13,0.01,3.28,0
1.95,0.24,0.01,0.89,0
0.85,1.76,0.0,3.28,0
2.87,1.8,0.1,1.21,0
0.05,0.16,0.0,3.01,0
0.7,2.53,0.0,3.28,0
4.91,0.95,0.0,1.51,0
0.73,1.76,0.0,3.28,0
5.79,2.19,0.12,1.21,0
1.13,4.62,0.18,5.3,0
1.19,0.14,0.0,0.89,0
6.66,2.18,0.01,1.83,0
0.03,0.04,0.0,0.89,0
1.52,3.88,0.15,3.99,0
0.59,2.73,0.01,3.56,0
2.67,1.38,0.03,0.46,0
1.16,6.44,0.000322463,4.31,0
0.37,2.53,0.0,3.28,0
1.12,0.14,0.0,0.89,0
0.8,2.73,0.0,3.28,0
1.28,4.13,0.08,3.99,0
1.6,4.87,0.03,4.96,0
0.61,2.53,0.0,3.28,0
1.89,4.62,0.1,4.31,0
1.89,4.87,0.06,3.99,0
1.44,4.37,0.03,3.99,0
3.02,0.41,0.0,1.19,0
4.97,1.8,0.05,1.21,0
1.0,1.95,0.002686735,3.85,0
0.11,0.85,0.0,3.01,0
0.11,0.85,0.0,3.01,0
1.4,3.88,0.03,3.99,0
6.89,2.09,0.0,1.83,0
2.2,5.12,0.07,3.99,0
0.73,2.94,0.01,3.99,0
1.18,5.08,0.01,4.74,0
1.49,3.13,0.01,3.28,0
1.75,3.89,0.0,0.58,0
0.77,2.93,0.01,3.28,0
3.74,0.62,0.02,0.46,0
2.25,2.97,0.02,0.95,0
3.42,0.46,0.0,1.51,0
2.97,2.61,0.18,0.46,0
0.97,2.93,0.01,3.28,0
4.66,0.76,0.0,1.51,0
1.44,3.88,0.03,3.99,0
0.77,1.76,0.0,3.28,0
0.8,1.95,0.0,3.28,0
1.99,0.19,0.0,1.19,0
2.97,0.95,0.01,1.19,0
1.52,0.19,0.0,0.89,0
4.07,1.37,0.02,1.19,0
1.53,0.2,0.01,0.46,0
4.66,0.7,0.0,1.51,0
2.33,6.36,0.02,1.27,0
